"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21875","Homepage to checkout testParallel1","Desktop Chrome","Fri Sep 20 12:08:31 EEST 2024","failed","Fri Sep 20 12:08:53 EEST 2024","","checkout_TestParallel_1.spec.js","",""
"","27715","Homepage to checkout testParallel7","Desktop Chrome","Fri Sep 20 12:09:20 EEST 2024","passed","Fri Sep 20 12:09:48 EEST 2024","","checkout_TestParallel_7.spec.js","",""
"","21723","Homepage to checkout testParallel2","Desktop Chrome","Fri Sep 20 12:08:31 EEST 2024","failed","Fri Sep 20 12:08:53 EEST 2024","","checkout_TestParallel_2.spec.js","",""
"","25103","Homepage to checkout testParallel5","Desktop Chrome","Fri Sep 20 12:08:54 EEST 2024","passed","Fri Sep 20 12:09:19 EEST 2024","","checkout_TestParallel_5.spec.js","",""
"","16892","hover over the Women link and click the correct ""Shop All"" link","Desktop Chrome","Thu Sep 19 11:12:16 EEST 2024","failed","Thu Sep 19 11:12:33 EEST 2024","","tests/checkout_tests.spec.js","",""
"","27636","Homepage to checkout testParallel3","Desktop Chrome","Fri Sep 20 12:08:31 EEST 2024","passed","Fri Sep 20 12:08:59 EEST 2024","","checkout_TestParallel_3.spec.js","",""
"","25222","Homepage to checkout journey","Desktop Chrome","Fri Sep 20 12:52:31 EEST 2024","failed","Fri Sep 20 12:52:56 EEST 2024","","checkout_tests.spec.js","",""
"","26779","Homepage to checkout testParallel4","Desktop Chrome","Fri Sep 20 12:08:54 EEST 2024","passed","Fri Sep 20 12:09:21 EEST 2024","","checkout_TestParallel_4.spec.js","",""
"","28475","Homepage to checkout testParallel6","Desktop Chrome","Fri Sep 20 12:09:00 EEST 2024","passed","Fri Sep 20 12:09:28 EEST 2024","","checkout_TestParallel_6.spec.js","",""
"","38082","Homepage to checkout journey","Desktop Chrome","Thu Sep 19 14:44:17 EEST 2024","passed","Thu Sep 19 14:44:55 EEST 2024","","tests/checkout_tests.spec.js","",""
